S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,CONTINENT OF STUDY,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
1,I,Komollo+Elvis,Journal,A Theory on slums,"(Stokes, 1962)",Slums,1962,Europe,European,Chapter 1,…slums persist here despite attempts over the past three decades at least to eliminate them. Is there a justification or an explanation for slums in this country?·         Slums persist despite attempts to eliminate them.,Slums persist.,Negative,No,-,No,Descriptive,Persistence of slums,,,,,
2,I,Komollo+Elvis,Journal,"The history, geography, and sociology of slums and the health problems of people who live in slums","(Ezeh et al., 2017)",Slums,2017,Africa,African,Chapter 1,Massive slums have become major features of cities in many low- and middle-income countries.  ·         Slums have become major features of cities in low- and middle-income countries.,Unhealthy places.,Negative,No,-,No,Diagnostic,,Health Concerns,,,,
3,I,Komollo+Elvis,Journal,A Study of Space in Mumbai's Slums,"(Nijman, 2010)",Slums,2010,Asia,Asian,Chapter 1,"The urban slum in the less developed world has an overwhelming significance of place for its dwellers: it determines who they are, what they do, where they go, and whom they know. Unlike most Western cities where the different realms of life (residential, work, religious, public, etc.) are spatially segregated, here they are all functionally and spatially integrated. ·         The urban slum in the less developed world has an overwhelming significance of place for its dwellers",Western concepts of slums.,Positive,No,-,No,Descriptive,Conceptualization of slums,,,,,
4,I,Komollo+Elvis,Journal,Making the best of a bad situation: Satisfaction in the slums of Calcutta.,"(Biswas-Diener & D., 2009)",Slums,2009,Asia,European,Introduction,"Eighty-three people in the slums of Calcutta, India were interviewed, and responded to several measures of subjective well-being.·         The slum dwellers of Calcutta generally experience a lower sense of life satisfaction",Life satisfaction,Positive,No,-,No,Descriptive,Conceptualization of slums,,,,,
5,I,Komollo+Elvis,Journal,Size Distributions for Morphological Slums in Asia and South America,"(Friesen et al., 2019)",Slums,2019,Asia,European,Chapter 1,More than half of the world’s population currently resides in urban areas. In the majority of developing countries slums are a defining part of the urban scape. ·         In majority of developing countries slums are a defining part of the urban scape.,Poor people.,Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
6,I,Komollo+Elvis,Journal,"The Progressives and the Slums: Tenement House Reform in New York City, 1890-1917.","(Swanson & Lubove, 1964)",Slums,1964,America,European,Chapter 1,"He shows step by step the reasoning of men as they began to ask public policy questions. They asked about guilt. Some saw the slums as the result of sloth, sin and bad character. ·         Some saw the slums as the result of sloth, sin and bad character. ","Sloth, sin and bad character.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
7,I,Komollo+Elvis,Journal,Slums and urban development: Questions on society and globalisation,"(Bolay, 2006)",Slums,2006,South America,European,Introduction,The slum is not only a manifestation of mismanaged urban planning in the countries of the South. The existence of slums worldwide is also a sign that the slum is a crucial element of contemporary urbanisation. ·         The slum is not only a manifestation of mismanaged urban planning ,Mismanaged urban planning.,Negative,No,-,No,Diagnostic,,Urban Planning,,,,
8,I,Komollo+Elvis,Journal,The political economy of slums: Theory and evidence from Sub-Saharan Africa,"(Fox, 2014)",Slums,2014,Africa,American,Introduction,"Over 800 million people in Africa, Asia, and Latin America live in slums. Why? I argue that slums are a result of “disjointed modernization” and show that 70% of cross-country variation in slum incidence is explained by demographic, economic, and institutional factors. ·         Slums are a result of disjointed modernization.",Disjointed modernization.,Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
9,I,Komollo+Elvis,Journal,Social Organization in the Slums,"(Whyte, 1943)",Slums,1943,Europe,American,Chapter 1,For many decades sociologists have been studying the slums in terms of social disorganization. It is my purpose to make a critical examination of some of the literature in this field and to suggest a different approach to the analysis of slum social life.·         Sociologists have been studying the slums in terms of social disorganization.,Social disorganization.,Positive,No,-,No,Descriptive,Conceptualization of slums,,,,,
10,I,Komollo+Elvis,Journal,Getting ahead of the game: A twin-track approach to improving existing slums and reducing the need for future slums,"(Payne, 2005)",Slums,2005,Asia,European,Introduction,"While many of the Millennium Development Goals (MDGs) represent an ambitious attempt to reduce global poverty and improve the quality of life for the world’s poor, this cannot be said for the goal that concerns urban development. Goal 7 of the MDGs aims to improve the living conditions of 100 million slum dwellers by 2020. However, current estimates suggest that, at present, there are nearly 1 billion people living in slums, and that this number is projected to increase to 1.5 billion by 2020 and to 2 billion by 2030. This can best be achieved by adopting a twin-track approach towards existing and potential future slums. Innovative approaches to improving tenure security in existing unauthorized settlements can improve living conditions for current slum dwellers…·         The Millennium Development Goals (MDGs) represent an ambitious attempt to reduce global poverty","Millenium Development Goals (MDGs)

Twin-track approach.

Slum dwellers.",Positive,No,-,No,Theoretical,,,,Twin-Track Approach,,
